Material Exchange Platform (MEP),Host,Website,Platform type,Exchange type,Material exchanged,,Need to create an account?,Cost to use the platform,Exchange logistics,Can waiting requests be made for specific materials?,Cost of materials known?,Provenance known?,Quantity known?,Quality known?,Location,Address Line 1,Address Line 2,Address Line 3,Town,Postcode,County,Country,Colour,,,,,,,,,,,,,,,,,,,,,,,,
Leeds Wood Recycling,National Community Wood Recycling Project,https://www.leedswoodrecycling.co.uk/,Enterprise and shop,Buy and sell,Wood,,No,Free ,Donate by arrangement with store. Buy online or in store,Don't know,Cost depends on donation and purchase amounts and type,Local,See in store,See in store,Leeds,Unit 6 ,Croydon Street,,Leeds,LS11 9RT,Leeds,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
The Woodhouse,National Community Wood Recycling Project,https://integratepreston.org.uk/social-enterprises/,Enterprise and shop,Buy and sell,Wood,,No,Free ,Donate by arrangement with store. Buy in store,Don't know,Don't know,Local,See in store,See in store,Preston,110 Stocks Road,Ashton,,Preston,PR2 2TB,Preston,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
Newcastle Wood Recycling,National Community Wood Recycling Project,https://www.welovewood.org/,Enterprise and shop,Buy and sell,Wood,,No,Free ,Donate by arrangement with store. Buy online or in store,Don't know,Cost depends on donation and purchase amounts and type,Local,See in store,See in store,Newcastle-Upon-Tyne,Corporation Yard,Welbeck Road,,Newcastle-Upon-Tyne,NE6 2PA,Newcastle-Upon-Tyne,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
Move On Wood Recycling,National Community Wood Recycling Project,https://moveon.org.uk/what-we-do/move-on-wood-recycling,Enterprise and shop,Buy and sell,Wood,,No,Free ,Donate by arrangement with store. Buy online or in store,Don't know,Cost depends on donation and purchase amounts and type,Local,See in store,See in store,Edinburgh,New Broompark,Granton,,Edinburgh,EH6 1RS,Edinburgh,Scotland,Blue,,,,,,,,,,,,,,,,,,,,,,,,
Glasgow Wood Recycling,National Community Wood Recycling Project,https://glasgowwoodrecycling.org.uk/,Enterprise and shop,Buy and sell,Wood,,No,Free ,Donate by arrangement with store. Buy online or in store,Don't know,Cost depends on donation and purchase amounts and type,Local,See in store,See in store,Glasgow,Unit 6,The Barclay Curle Complex,,Glasgow,G14 0BX,Glasgow,Scotland,Blue,,,,,,,,,,,,,,,,,,,,,,,,
Preloved,Preloved,https://www.preloved.co.uk/classifieds/home-improvement/diy-building-materials,Online listings,Buy and sell,Construction materials,,Yes,Free to buy and sell. Pay to gain early access to latest listings,Don't know - detail could be given in the listing,Yes,Items are either free or cost to exchange,Yes - required in the listing,Yes - required in the listing,Don't know- detail could be given in the listing,UK,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,
Recipro,Recipro,https://www.recipro-uk.com,Online listings,Buy and sell,Construction materials and paint,,Yes,Free ,Private arrangement to pick up or deliver once the material exchange is confirmed,Don't know,Items are either free or cost to exchange,Yes - required in the listing,Yes - required in the listing,"Yes - only items that are clean, uncontaminated, not damaged or hazardous can be exchanged",UK,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,
Reciprocity Wirral,Recipro,https://www.recipro-uk.com,Enterprise and shop,Buy and sell,Construction materials,,No,Free ,Donate by arrangement with store. Buy online or in store,Don't know,Items cost to purchase   ,NA,Yes,Yes,Wirral,Reciprocity Wallasey,Unit 2 Britannia House,Dock Road,Wallasey,CH41 1DF,Wallasey,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
RecycleBlu,RecycleBlu,https://www.recycleblu.com,Online listings,Buy and sell,Plastics,,Yes,Free to buy and sell but a commission is paid if an exchange occurs (3% of total sale price),"Delivered to you, shipping price is incorporated within cost",Yes,Items cost to purchase and are won via a bid,Yes - required in the listing,Yes - required in the listing (in units),Yes - required in the listing,UK,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,
Volunteer it Yourself (VIY),Volunteer it Yourself (VIY),https://volunteerityourself.org/,Social Enterprise,Donate,All construction,,NA,Free,Contact to arrange partnership,NA,NA,NA,NA,NA,Leeds,Bennett Road,,,Leeds,LS6 3HN,,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
